




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (6142)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
negative regulation of immune system process (GO:0002683)	597	107	178.04	-	.60	2.61E-07	1.48E-05
protein polyubiquitination (GO:0000209)	325	161	96.92	+	1.66	2.69E-07	1.52E-05
mitochondrial translational elongation (GO:0070125)	88	63	26.24	+	2.40	2.83E-07	1.59E-05
negative regulation of cellular amide metabolic process (GO:0034249)	206	114	61.43	+	1.86	2.96E-07	1.66E-05
regulation of signal transduction by p53 class mediator (GO:1901796)	201	112	59.94	+	1.87	3.13E-07	1.75E-05
negative regulation of biological process (GO:0048519)	5501	1846	1640.55	+	1.13	3.14E-07	1.75E-05
RNA 3'-end processing (GO:0031123)	142	87	42.35	+	2.05	3.20E-07	1.78E-05
neuropeptide signaling pathway (GO:0007218)	109	6	32.51	-	.18	3.27E-07	1.81E-05
establishment of localization (GO:0051234)	4631	1575	1381.09	+	1.14	3.43E-07	1.89E-05
cellular protein complex disassembly (GO:0043624)	138	85	41.16	+	2.07	3.48E-07	1.90E-05
regulation of transcription by RNA polymerase II (GO:0006357)	2595	930	773.90	+	1.20	3.48E-07	1.91E-05
positive regulation of transcription, DNA-templated (GO:0045893)	1628	614	485.51	+	1.26	3.52E-07	1.91E-05
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	614	485.51	+	1.26	3.52E-07	1.92E-05
response to stimulus (GO:0050896)	8540	2324	2546.86	-	.91	3.54E-07	1.92E-05
positive regulation of RNA biosynthetic process (GO:1902680)	1629	614	485.81	+	1.26	3.56E-07	1.92E-05
negative regulation of defense response (GO:0031348)	402	63	119.89	-	.53	3.58E-07	1.93E-05
positive regulation of catabolic process (GO:0009896)	519	232	154.78	+	1.50	3.90E-07	2.09E-05
proteolysis (GO:0006508)	1306	506	389.49	+	1.30	4.01E-07	2.14E-05
RNA modification (GO:0009451)	172	99	51.30	+	1.93	4.28E-07	2.28E-05
ribonucleoprotein complex localization (GO:0071166)	127	80	37.87	+	2.11	4.54E-07	2.41E-05
cellular component disassembly (GO:0022411)	409	191	121.98	+	1.57	4.98E-07	2.63E-05
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	502	387.40	+	1.30	5.09E-07	2.68E-05
translational termination (GO:0006415)	97	66	28.93	+	2.28	5.26E-07	2.76E-05
negative regulation of RNA biosynthetic process (GO:1902679)	1301	502	387.99	+	1.29	5.99E-07	3.14E-05
ribonucleoprotein complex export from nucleus (GO:0071426)	126	79	37.58	+	2.10	6.23E-07	3.25E-05
ribosomal large subunit biogenesis (GO:0042273)	72	54	21.47	+	2.51	6.70E-07	3.48E-05
negative regulation of transcription, DNA-templated (GO:0045892)	1297	500	386.80	+	1.29	7.72E-07	4.00E-05
mitochondrial translational termination (GO:0070126)	89	62	26.54	+	2.34	7.87E-07	4.06E-05
regulation of ion transport (GO:0043269)	703	135	209.65	-	.64	7.91E-07	4.07E-05
organelle localization (GO:0051640)	609	262	181.62	+	1.44	8.40E-07	4.31E-05
DNA conformation change (GO:0071103)	312	153	93.05	+	1.64	8.65E-07	4.42E-05
ncRNA transcription (GO:0098781)	94	64	28.03	+	2.28	8.78E-07	4.48E-05
microtubule-based process (GO:0007017)	806	331	240.37	+	1.38	9.21E-07	4.68E-05
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	118	66.21	+	1.78	9.41E-07	4.77E-05
cell-cell adhesion (GO:0098609)	515	91	153.59	-	.59	9.60E-07	4.85E-05
regulation of DNA metabolic process (GO:0051052)	372	175	110.94	+	1.58	9.82E-07	4.94E-05
regulation of humoral immune response (GO:0002920)	142	12	42.35	-	.28	1.04E-06	5.22E-05
regulation of immune system process (GO:0002682)	1717	396	512.06	-	.77	1.05E-06	5.24E-05
protein modification by small protein removal (GO:0070646)	295	146	87.98	+	1.66	1.06E-06	5.29E-05
regulation of complement activation (GO:0030449)	118	8	35.19	-	.23	1.06E-06	5.30E-05
regulation of proteasomal protein catabolic process (GO:0061136)	187	103	55.77	+	1.85	1.09E-06	5.38E-05
negative regulation of immune response (GO:0050777)	373	59	111.24	-	.53	1.14E-06	5.62E-05
positive regulation of cellular catabolic process (GO:0031331)	450	204	134.20	+	1.52	1.14E-06	5.63E-05
regulation of protein catabolic process (GO:0042176)	398	184	118.69	+	1.55	1.25E-06	6.13E-05
positive regulation of immune system process (GO:0002684)	1069	228	318.81	-	.72	1.26E-06	6.17E-05
chromosome segregation (GO:0007059)	286	142	85.29	+	1.66	1.33E-06	6.48E-05
organelle fission (GO:0048285)	369	173	110.05	+	1.57	1.45E-06	7.07E-05
cell cycle phase transition (GO:0044770)	270	135	80.52	+	1.68	1.69E-06	8.18E-05
RNA export from nucleus (GO:0006405)	124	76	36.98	+	2.06	1.74E-06	8.42E-05
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	125	73.07	+	1.71	1.95E-06	9.38E-05
Golgi vesicle transport (GO:0048193)	398	183	118.69	+	1.54	1.98E-06	9.50E-05
nuclear division (GO:0000280)	339	161	101.10	+	1.59	2.08E-06	9.98E-05
antimicrobial humoral response (GO:0019730)	154	15	45.93	-	.33	2.20E-06	1.05E-04
mitotic cell cycle phase transition (GO:0044772)	262	131	78.14	+	1.68	2.22E-06	1.06E-04
protein-DNA complex assembly (GO:0065004)	256	129	76.35	+	1.69	2.27E-06	1.08E-04
double-strand break repair (GO:0006302)	204	108	60.84	+	1.78	2.59E-06	1.23E-04
positive regulation of immune response (GO:0050778)	747	149	222.78	-	.67	2.63E-06	1.24E-04
cellular respiration (GO:0045333)	187	101	55.77	+	1.81	2.85E-06	1.34E-04
localization (GO:0051179)	5831	1930	1738.97	+	1.11	2.90E-06	1.36E-04
protein alkylation (GO:0008213)	131	78	39.07	+	2.00	2.96E-06	1.38E-04
protein methylation (GO:0006479)	131	78	39.07	+	2.00	2.96E-06	1.38E-04
positive regulation of chromosome organization (GO:2001252)	182	99	54.28	+	1.82	3.00E-06	1.40E-04
positive regulation of protein metabolic process (GO:0051247)	1562	581	465.83	+	1.25	3.12E-06	1.44E-04
positive regulation of organelle organization (GO:0010638)	605	256	180.43	+	1.42	3.11E-06	1.44E-04
aerobic respiration (GO:0009060)	160	90	47.72	+	1.89	3.30E-06	1.52E-04
establishment of RNA localization (GO:0051236)	191	102	56.96	+	1.79	3.55E-06	1.63E-04
snRNA transcription (GO:0009301)	71	51	21.17	+	2.41	3.89E-06	1.78E-04
regulation of protein stability (GO:0031647)	306	146	91.26	+	1.60	4.53E-06	2.07E-04
protein folding (GO:0006457)	233	118	69.49	+	1.70	5.06E-06	2.30E-04
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	29	66.21	-	.44	5.08E-06	2.31E-04
protein deubiquitination (GO:0016579)	278	135	82.91	+	1.63	5.18E-06	2.34E-04
microtubule cytoskeleton organization (GO:0000226)	567	241	169.10	+	1.43	5.22E-06	2.36E-04
transport (GO:0006810)	4476	1506	1334.87	+	1.13	5.26E-06	2.37E-04
ATP metabolic process (GO:0046034)	206	107	61.43	+	1.74	5.33E-06	2.39E-04
snRNA transcription by RNA polymerase II (GO:0042795)	70	50	20.88	+	2.40	5.51E-06	2.47E-04
cell cycle checkpoint signaling (GO:0000075)	188	100	56.07	+	1.78	5.62E-06	2.51E-04
peptide cross-linking (GO:0018149)	102	7	30.42	-	.23	5.82E-06	2.59E-04
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	68	32.81	+	2.07	5.96E-06	2.64E-04
mRNA export from nucleus (GO:0006406)	110	68	32.81	+	2.07	5.96E-06	2.65E-04
nucleic acid transport (GO:0050657)	189	100	56.37	+	1.77	6.03E-06	2.65E-04
regulation of response to DNA damage stimulus (GO:2001020)	223	114	66.50	+	1.71	6.01E-06	2.65E-04
RNA transport (GO:0050658)	189	100	56.37	+	1.77	6.03E-06	2.66E-04
spindle organization (GO:0007051)	224	114	66.80	+	1.71	6.24E-06	2.73E-04
mitochondrial respiratory chain complex assembly (GO:0033108)	101	64	30.12	+	2.12	6.23E-06	2.73E-04
sister chromatid segregation (GO:0000819)	149	84	44.44	+	1.89	6.76E-06	2.94E-04
phosphorus metabolic process (GO:0006793)	1835	666	547.25	+	1.22	6.90E-06	3.00E-04
regulation of cellular protein catabolic process (GO:1903362)	256	126	76.35	+	1.65	6.96E-06	3.00E-04
energy derivation by oxidation of organic compounds (GO:0015980)	256	126	76.35	+	1.65	6.96E-06	3.01E-04
cornification (GO:0070268)	113	9	33.70	-	.27	7.14E-06	3.07E-04
endosomal transport (GO:0016197)	235	118	70.08	+	1.68	7.27E-06	3.12E-04
epidermal cell differentiation (GO:0009913)	322	51	96.03	-	.53	7.27E-06	3.12E-04
viral life cycle (GO:0019058)	230	116	68.59	+	1.69	7.96E-06	3.40E-04
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	7	29.82	-	.23	8.45E-06	3.60E-04
oxidative phosphorylation (GO:0006119)	120	71	35.79	+	1.98	8.88E-06	3.77E-04
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	90	49.51	+	1.82	9.11E-06	3.86E-04
activation of immune response (GO:0002253)	530	100	158.06	-	.63	9.81E-06	4.15E-04
nucleobase-containing compound transport (GO:0015931)	245	121	73.07	+	1.66	1.06E-05	4.47E-04
regulation of mRNA processing (GO:0050684)	140	79	41.75	+	1.89	1.11E-05	4.68E-04
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	77	40.26	+	1.91	1.15E-05	4.83E-04
positive regulation of cellular component organization (GO:0051130)	1161	441	346.24	+	1.27	1.16E-05	4.86E-04
mRNA destabilization (GO:0061157)	90	58	26.84	+	2.16	1.22E-05	5.07E-04
ribosomal small subunit biogenesis (GO:0042274)	73	50	21.77	+	2.30	1.25E-05	5.19E-04
positive regulation of mRNA metabolic process (GO:1903313)	136	77	40.56	+	1.90	1.25E-05	5.20E-04
mRNA transport (GO:0051028)	160	87	47.72	+	1.82	1.26E-05	5.22E-04
ribosome assembly (GO:0042255)	62	45	18.49	+	2.43	1.37E-05	5.66E-04
regulation of defense response (GO:0031347)	852	181	254.09	-	.71	1.40E-05	5.75E-04
phosphate-containing compound metabolic process (GO:0006796)	1808	653	539.20	+	1.21	1.50E-05	6.17E-04
nuclear chromosome segregation (GO:0098813)	227	113	67.70	+	1.67	1.65E-05	6.76E-04
macroautophagy (GO:0016236)	199	102	59.35	+	1.72	1.70E-05	6.95E-04
RNA destabilization (GO:0050779)	94	59	28.03	+	2.10	1.72E-05	7.00E-04
positive regulation of cellular protein metabolic process (GO:0032270)	1474	543	439.59	+	1.24	1.72E-05	7.01E-04
regulation of RNA splicing (GO:0043484)	150	82	44.73	+	1.83	1.97E-05	7.99E-04
regulation of gene silencing (GO:0060968)	116	68	34.59	+	1.97	1.99E-05	8.03E-04
nucleosome organization (GO:0034728)	156	84	46.52	+	1.81	2.02E-05	8.14E-04
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	84	46.52	+	1.81	2.02E-05	8.17E-04
mitotic spindle organization (GO:0007052)	163	87	48.61	+	1.79	2.05E-05	8.21E-04
mRNA 3'-end processing (GO:0031124)	88	56	26.24	+	2.13	2.33E-05	9.33E-04
DNA-templated transcription, termination (GO:0006353)	79	52	23.56	+	2.21	2.34E-05	9.34E-04
regulation of autophagy (GO:0010506)	331	151	98.71	+	1.53	2.40E-05	9.56E-04
chromatin remodeling (GO:0006338)	173	91	51.59	+	1.76	2.42E-05	9.62E-04
DNA-dependent DNA replication (GO:0006261)	195	99	58.15	+	1.70	2.61E-05	1.03E-03
positive regulation of translation (GO:0045727)	137	76	40.86	+	1.86	2.61E-05	1.03E-03
DNA recombination (GO:0006310)	225	111	67.10	+	1.65	2.66E-05	1.05E-03
chromatin assembly or disassembly (GO:0006333)	170	89	50.70	+	1.76	2.87E-05	1.13E-03
mitotic sister chromatid segregation (GO:0000070)	121	69	36.09	+	1.91	2.87E-05	1.13E-03
mitochondrial transport (GO:0006839)	235	114	70.08	+	1.63	2.93E-05	1.15E-03
regulation of protein ubiquitination (GO:0031396)	213	106	63.52	+	1.67	2.97E-05	1.16E-03
response to endoplasmic reticulum stress (GO:0034976)	260	124	77.54	+	1.60	2.98E-05	1.16E-03
regulation of gene silencing by RNA (GO:0060966)	97	59	28.93	+	2.04	3.26E-05	1.26E-03
respiratory electron transport chain (GO:0022904)	112	65	33.40	+	1.95	3.26E-05	1.26E-03
immune response-activating signal transduction (GO:0002757)	455	85	135.69	-	.63	3.37E-05	1.30E-03
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	85	135.69	-	.63	3.37E-05	1.30E-03
regulation of macroautophagy (GO:0016241)	161	85	48.01	+	1.77	3.48E-05	1.34E-03
positive regulation of cellular amide metabolic process (GO:0034250)	168	88	50.10	+	1.76	3.53E-05	1.35E-03
tRNA modification (GO:0006400)	93	57	27.74	+	2.06	3.53E-05	1.35E-03
regulation of response to external stimulus (GO:0032101)	1199	275	357.58	-	.77	3.91E-05	1.49E-03
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	94	54.87	+	1.71	3.92E-05	1.49E-03
positive regulation of mRNA catabolic process (GO:0061014)	105	62	31.31	+	1.98	4.04E-05	1.53E-03
mitotic cell cycle checkpoint signaling (GO:0007093)	159	84	47.42	+	1.77	4.30E-05	1.63E-03
regulation of posttranscriptional gene silencing (GO:0060147)	96	58	28.63	+	2.03	4.44E-05	1.68E-03
signal transduction in response to DNA damage (GO:0042770)	167	87	49.80	+	1.75	4.58E-05	1.73E-03
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	104	63.22	+	1.64	4.99E-05	1.88E-03
signal transduction by p53 class mediator (GO:0072331)	119	67	35.49	+	1.89	5.10E-05	1.92E-03
RNA methylation (GO:0001510)	88	54	26.24	+	2.06	5.26E-05	1.97E-03
regulation of cell cycle G2/M phase transition (GO:1902749)	222	108	66.21	+	1.63	5.39E-05	2.00E-03
ATP synthesis coupled electron transport (GO:0042773)	93	56	27.74	+	2.02	5.39E-05	2.00E-03
plasma membrane invagination (GO:0099024)	141	16	42.05	-	.38	5.36E-05	2.00E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	56	27.74	+	2.02	5.39E-05	2.01E-03
trans-synaptic signaling (GO:0099537)	432	81	128.83	-	.63	5.45E-05	2.02E-03
RNA phosphodiester bond hydrolysis (GO:0090501)	164	85	48.91	+	1.74	5.50E-05	2.03E-03
ion transport (GO:0006811)	1200	277	357.87	-	.77	5.98E-05	2.20E-03
regulation of cell activation (GO:0050865)	664	138	198.02	-	.70	5.97E-05	2.20E-03
cell surface receptor signaling pathway (GO:0007166)	2495	630	744.08	-	.85	6.16E-05	2.26E-03
skin development (GO:0043588)	385	70	114.82	-	.61	6.26E-05	2.29E-03
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	64	33.40	+	1.92	6.46E-05	2.36E-03
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	66	35.19	+	1.88	6.79E-05	2.47E-03
apoptotic process (GO:0006915)	913	349	272.28	+	1.28	6.91E-05	2.51E-03
epidermis development (GO:0008544)	422	79	125.85	-	.63	6.93E-05	2.51E-03
DNA integrity checkpoint signaling (GO:0031570)	150	79	44.73	+	1.77	7.14E-05	2.58E-03
positive regulation of cell cycle (GO:0045787)	310	140	92.45	+	1.51	7.16E-05	2.58E-03
anterograde trans-synaptic signaling (GO:0098916)	414	77	123.47	-	.62	7.31E-05	2.62E-03
chemical synaptic transmission (GO:0007268)	414	77	123.47	-	.62	7.31E-05	2.63E-03
regulation of cell cycle G1/S phase transition (GO:1902806)	178	90	53.08	+	1.70	7.35E-05	2.63E-03
mitochondrial RNA metabolic process (GO:0000959)	41	32	12.23	+	2.62	7.30E-05	2.63E-03
immune response-regulating signaling pathway (GO:0002764)	495	97	147.62	-	.66	7.49E-05	2.67E-03
cytoskeleton organization (GO:0007010)	1212	448	361.45	+	1.24	7.84E-05	2.79E-03
regulation of gene expression, epigenetic (GO:0040029)	173	88	51.59	+	1.71	8.00E-05	2.84E-03
regulation of gene silencing by miRNA (GO:0060964)	94	56	28.03	+	2.00	8.21E-05	2.90E-03
establishment of organelle localization (GO:0051656)	398	171	118.69	+	1.44	8.19E-05	2.90E-03
external encapsulating structure organization (GO:0045229)	386	71	115.12	-	.62	8.29E-05	2.93E-03
regulation of leukocyte activation (GO:0002694)	622	129	185.50	-	.70	8.80E-05	3.10E-03
leukocyte chemotaxis (GO:0030595)	143	17	42.65	-	.40	9.43E-05	3.31E-03
vesicle organization (GO:0016050)	313	140	93.35	+	1.50	9.61E-05	3.36E-03
negative regulation of cellular catabolic process (GO:0031330)	257	119	76.64	+	1.55	9.60E-05	3.37E-03
peptidyl-lysine methylation (GO:0018022)	86	52	25.65	+	2.03	9.80E-05	3.42E-03
peptidyl-lysine acetylation (GO:0018394)	119	66	35.49	+	1.86	9.87E-05	3.44E-03
positive regulation of cell activation (GO:0050867)	440	84	131.22	-	.64	9.91E-05	3.44E-03
protein acylation (GO:0043543)	178	89	53.08	+	1.68	9.95E-05	3.45E-03
locomotion (GO:0040011)	1345	318	401.12	-	.79	1.02E-04	3.52E-03
ATP-dependent chromatin remodeling (GO:0043044)	77	48	22.96	+	2.09	1.04E-04	3.60E-03
negative regulation of catabolic process (GO:0009895)	317	141	94.54	+	1.49	1.05E-04	3.63E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	97	146.73	-	.66	1.07E-04	3.69E-03
post-translational protein modification (GO:0043687)	361	157	107.66	+	1.46	1.12E-04	3.86E-03
aerobic electron transport chain (GO:0019646)	88	53	26.24	+	2.02	1.13E-04	3.88E-03
regulation of protein modification process (GO:0031399)	1654	590	493.27	+	1.20	1.15E-04	3.94E-03
phagocytosis (GO:0006909)	329	58	98.12	-	.59	1.18E-04	4.02E-03
regulation of stem cell differentiation (GO:2000736)	116	64	34.59	+	1.85	1.19E-04	4.06E-03
positive regulation of viral process (GO:0048524)	89	53	26.54	+	2.00	1.22E-04	4.12E-03
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	62	33.10	+	1.87	1.24E-04	4.18E-03
extracellular matrix organization (GO:0030198)	383	71	114.22	-	.62	1.24E-04	4.19E-03
positive regulation of leukocyte activation (GO:0002696)	429	82	127.94	-	.64	1.26E-04	4.24E-03
protein acetylation (GO:0006473)	138	73	41.16	+	1.77	1.40E-04	4.71E-03
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	343	270.19	+	1.27	1.49E-04	5.00E-03
virion assembly (GO:0019068)	39	30	11.63	+	2.58	1.51E-04	5.05E-03
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	63	34.30	+	1.84	1.58E-04	5.28E-03
nucleotide-excision repair (GO:0006289)	104	59	31.02	+	1.90	1.62E-04	5.37E-03
extracellular structure organization (GO:0043062)	384	72	114.52	-	.63	1.61E-04	5.37E-03
positive regulation of lymphocyte activation (GO:0051251)	384	72	114.52	-	.63	1.61E-04	5.38E-03
histone acetylation (GO:0016573)	110	61	32.81	+	1.86	1.64E-04	5.45E-03
microtubule-based transport (GO:0099111)	192	93	57.26	+	1.62	1.67E-04	5.52E-03
response to ionizing radiation (GO:0010212)	148	76	44.14	+	1.72	1.67E-04	5.52E-03
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	4	19.98	-	.20	1.73E-04	5.69E-03
positive regulation of apoptotic process (GO:0043065)	560	225	167.01	+	1.35	1.75E-04	5.75E-03
regulation of DNA repair (GO:0006282)	130	69	38.77	+	1.78	1.78E-04	5.83E-03
regulation of programmed cell death (GO:0043067)	1532	548	456.88	+	1.20	1.78E-04	5.84E-03
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	10.74	-	 < 0.01	1.80E-04	5.87E-03
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	48	23.56	+	2.04	1.81E-04	5.89E-03
DNA-templated transcription, initiation (GO:0006352)	195	94	58.15	+	1.62	1.83E-04	5.96E-03
endomembrane system organization (GO:0010256)	530	214	158.06	+	1.35	2.01E-04	6.51E-03
regulation of cell death (GO:0010941)	1668	591	497.44	+	1.19	2.04E-04	6.62E-03
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	57	30.42	+	1.87	2.10E-04	6.79E-03
positive regulation of B cell activation (GO:0050871)	171	24	51.00	-	.47	2.16E-04	6.98E-03
regulation of cytosolic calcium ion concentration (GO:0051480)	321	58	95.73	-	.61	2.18E-04	6.99E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	70	39.96	+	1.75	2.17E-04	7.00E-03
positive regulation of response to DNA damage stimulus (GO:2001022)	109	60	32.51	+	1.85	2.18E-04	7.00E-03
maturation of 5.8S rRNA (GO:0000460)	35	28	10.44	+	2.68	2.22E-04	7.09E-03
cell aging (GO:0007569)	76	46	22.67	+	2.03	2.22E-04	7.10E-03
internal peptidyl-lysine acetylation (GO:0018393)	116	63	34.59	+	1.82	2.28E-04	7.26E-03
DNA packaging (GO:0006323)	202	96	60.24	+	1.59	2.31E-04	7.32E-03
DNA damage checkpoint signaling (GO:0000077)	142	73	42.35	+	1.72	2.31E-04	7.33E-03
generation of precursor metabolites and energy (GO:0006091)	403	169	120.19	+	1.41	2.38E-04	7.53E-03
response to chemical (GO:0042221)	4381	1174	1306.54	-	.90	2.39E-04	7.56E-03
regulation of apoptotic process (GO:0042981)	1493	533	445.25	+	1.20	2.57E-04	8.10E-03
regulation of lymphocyte activation (GO:0051249)	536	111	159.85	-	.69	2.66E-04	8.36E-03
histone methylation (GO:0016571)	91	52	27.14	+	1.92	2.94E-04	9.25E-03
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	62	34.30	+	1.81	3.00E-04	9.39E-03
regulation of chromatin organization (GO:1902275)	211	99	62.93	+	1.57	3.00E-04	9.41E-03
telomere organization (GO:0032200)	103	57	30.72	+	1.86	3.03E-04	9.45E-03
organophosphate biosynthetic process (GO:0090407)	552	220	164.62	+	1.34	3.07E-04	9.58E-03
transport along microtubule (GO:0010970)	157	78	46.82	+	1.67	3.20E-04	9.96E-03
granulocyte chemotaxis (GO:0071621)	82	7	24.45	-	.29	3.29E-04	1.02E-02
regulation of leukocyte mediated cytotoxicity (GO:0001910)	82	7	24.45	-	.29	3.29E-04	1.02E-02
response to UV (GO:0009411)	151	76	45.03	+	1.69	3.33E-04	1.03E-02
regulation of system process (GO:0044057)	585	124	174.46	-	.71	3.44E-04	1.06E-02
lymphocyte chemotaxis (GO:0048247)	49	2	14.61	-	.14	3.46E-04	1.07E-02
sensory perception of bitter taste (GO:0050913)	41	1	12.23	-	.08	3.50E-04	1.08E-02
internal protein amino acid acetylation (GO:0006475)	118	63	35.19	+	1.79	3.51E-04	1.08E-02
ion transmembrane transport (GO:0034220)	870	198	259.46	-	.76	3.61E-04	1.11E-02
negative regulation of cellular protein metabolic process (GO:0032269)	1040	383	310.16	+	1.23	3.64E-04	1.11E-02
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	12.53	-	.08	3.63E-04	1.11E-02
monocyte chemotaxis (GO:0002548)	42	1	12.53	-	.08	3.63E-04	1.11E-02
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	46	23.26	+	1.98	3.70E-04	1.12E-02
regulation of B cell activation (GO:0050864)	216	35	64.42	-	.54	3.80E-04	1.15E-02
positive regulation of DNA metabolic process (GO:0051054)	202	95	60.24	+	1.58	3.80E-04	1.15E-02
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	30	12.53	+	2.40	3.82E-04	1.16E-02
regulation of interferon-gamma production (GO:0032649)	113	13	33.70	-	.39	4.01E-04	1.21E-02
positive regulation of cell death (GO:0010942)	638	248	190.27	+	1.30	4.04E-04	1.22E-02
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	60	38	17.89	+	2.12	4.24E-04	1.27E-02
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	91	51	27.14	+	1.88	4.33E-04	1.30E-02
protein-lipid complex remodeling (GO:0034368)	32	0	9.54	-	 < 0.01	4.38E-04	1.31E-02
plasma lipoprotein particle remodeling (GO:0034369)	32	0	9.54	-	 < 0.01	4.38E-04	1.31E-02
positive regulation of interferon-gamma production (GO:0032729)	74	6	22.07	-	.27	4.41E-04	1.31E-02
post-Golgi vesicle-mediated transport (GO:0006892)	136	69	40.56	+	1.70	4.40E-04	1.31E-02
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	64	36.68	+	1.74	4.48E-04	1.33E-02
termination of RNA polymerase II transcription (GO:0006369)	40	29	11.93	+	2.43	4.56E-04	1.35E-02
defense response to Gram-negative bacterium (GO:0050829)	91	9	27.14	-	.33	4.67E-04	1.38E-02
positive regulation of protein catabolic process (GO:0045732)	237	107	70.68	+	1.51	4.77E-04	1.41E-02
negative regulation of protein metabolic process (GO:0051248)	1112	405	331.63	+	1.22	4.82E-04	1.42E-02
mitochondrial membrane organization (GO:0007006)	146	73	43.54	+	1.68	4.85E-04	1.43E-02
telomere maintenance (GO:0000723)	99	54	29.52	+	1.83	4.91E-04	1.44E-02
detection of external stimulus (GO:0009581)	137	18	40.86	-	.44	5.07E-04	1.49E-02
mitotic DNA damage checkpoint signaling (GO:0044773)	119	62	35.49	+	1.75	5.11E-04	1.50E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	33	14.61	+	2.26	5.13E-04	1.50E-02
positive regulation of cytokine production (GO:0001819)	489	101	145.83	-	.69	5.18E-04	1.51E-02
vacuolar transport (GO:0007034)	155	76	46.23	+	1.64	5.20E-04	1.51E-02
multi-organism transport (GO:0044766)	63	39	18.79	+	2.08	5.40E-04	1.57E-02
multi-organism localization (GO:1902579)	63	39	18.79	+	2.08	5.40E-04	1.57E-02
serotonin receptor signaling pathway (GO:0007210)	39	1	11.63	-	.09	5.45E-04	1.58E-02
intracellular transport of virus (GO:0075733)	54	35	16.10	+	2.17	5.54E-04	1.60E-02
cell migration (GO:0016477)	968	226	288.68	-	.78	5.59E-04	1.61E-02
protein stabilization (GO:0050821)	198	92	59.05	+	1.56	5.63E-04	1.62E-02
chromatin assembly (GO:0031497)	150	74	44.73	+	1.65	5.67E-04	1.63E-02
DNA-templated transcription, elongation (GO:0006354)	79	46	23.56	+	1.95	5.66E-04	1.63E-02
regulation of cytokine production (GO:0001817)	748	168	223.07	-	.75	5.81E-04	1.66E-02
protein localization to mitochondrion (GO:0070585)	85	48	25.35	+	1.89	5.93E-04	1.69E-02
detection of abiotic stimulus (GO:0009582)	139	19	41.45	-	.46	5.98E-04	1.71E-02
positive regulation of cell cycle process (GO:0090068)	228	103	68.00	+	1.51	6.06E-04	1.72E-02
cell motility (GO:0048870)	1109	264	330.73	-	.80	6.10E-04	1.73E-02
localization of cell (GO:0051674)	1109	264	330.73	-	.80	6.10E-04	1.73E-02
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	44	22.37	+	1.97	6.21E-04	1.76E-02
cellular response to oxygen levels (GO:0071453)	220	100	65.61	+	1.52	6.25E-04	1.77E-02
positive regulation of programmed cell death (GO:0043068)	575	225	171.48	+	1.31	6.29E-04	1.78E-02
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	42	20.88	+	2.01	6.33E-04	1.78E-02
